PropertyID,PropType,taxkey,Address,CondoProject,District,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
859441,Residential,0040062000,9421 N MICHAEL CT,,9,0040,Colonial,Fiber Cement/Hardiplank,2,2006,11,2615,1,4,3,1,16588,10/15/2020,369900
848609,Residential,0040062000,9421 N MICHAEL CT,,9,0040,Colonial,Fiber Cement/Hardiplank,2,2006,11,2615,1,4,3,1,16588,2/13/2020,357000
848069,Residential,0040064000,9445 N MICHAEL CT,,9,0040,Colonial,Fiber Cement/Hardiplank,2,2006,10,3140,1,4,3,1,10607,1/24/2020,315000
849117,Residential,0040073000,9563 N MICHAEL CT,,9,0040,Ranch,Fiber Cement/Hardiplank,1,2010,7,2153,1,3,2,1,10607,2/28/2020,338000
859049,Residential,0049994000,9423 W COUNTY LINE RD,,9,0040,Cape Cod,Aluminum/Vinyl,1,1950,5,1103,1,3,1,0,71438,10/28/2020,184000
857377,Residential,0050016000,8603 W GLENBROOK RD,,9,0040,Ranch,Aluminum/Vinyl,1,1981,5,1007,1,3,1,1,8450,9/17/2020,145000
861369,Residential,0050017000,8611 W GLENBROOK RD,,9,0040,Ranch,Aluminum/Vinyl,1,1982,5,1007,1,3,1,0,7625,12/9/2020,139990
854447,Residential,0050057000,9311 N 85TH ST,,9,0040,Split Level,Aluminum/Vinyl,1,1985,6,1668,1,3,1,1,12900,7/13/2020,184500
854422,Residential,0050095000,9306 N BURBANK AV,,9,0040,Colonial,Aluminum/Vinyl,2,2008,9,2224,1,4,2,1,11129,7/7/2020,275000
853710,Residential,0050103000,8228 W GLENBROOK RD,,9,0040,Ranch,Aluminum/Vinyl,1,1988,5,1241,1,3,1,1,7980,6/12/2020,174000
860634,Residential,0050109000,8120 W GLENBROOK RD,,9,0040,Colonial,Aluminum/Vinyl,2,1990,7,2076,1,3,2,1,7800,11/17/2020,285000
853576,Residential,0050121000,7938 W GLENBROOK RD,,9,0040,Townhouse,Wood,2,1990,10,2621,2,6,2,2,7650,6/22/2020,200000
859588,Residential,0050128000,7836 W ANGELA AV,,9,0040,,,0,0,NULL,NULL,0,NULL,0,0,12272,11/4/2020,10000
847931,Condominium,0070072000,"9282 N 70TH ST, Unit 9",NORTHRIDGE WOOD LAKE,9,5010,Condo Ranch,,1,1973,4,898,1,2,1,1,0,1/2/2020,64900
857956,Condominium,0070089000,"6967 W GLENBROOK RD, Unit 11",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,1437,1,3,2,1,0,9/30/2020,83500
858905,Condominium,0310228000,8973 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,5,1498,1,3,1,1,1,9/28/2020,119000
848678,Condominium,0310251000,9021 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,4,1295,1,2,1,1,1,2/6/2020,80000
851877,Condominium,0310266000,9051 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,5,1498,1,3,1,1,1,5/5/2020,110000
860182,Condominium,0310267000,9053 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,5,1498,1,3,1,1,1,11/9/2020,125000
